image_name,text_prompt,point_order,x,y
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,8,273,446
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,9,253,405
WhatsApp Image 2026-04-27 at 19.34.47(3).jpeg,Go up the stairs,10,239,363
WhatsApp Image 2026-04-27 at 19.34.47(4).jpeg,Continu. Down the path,1,384,972
WhatsApp Image 2026-04-27 at 19.34.47(4).jpeg,Continu. Down the path,2,389,856
WhatsApp Image 2026-04-27 at 19.34.47(4).jpeg,Continu. Down the path,3,390,781
WhatsApp Image 2026-04-27 at 19.34.47(4).jpeg,Continu. Down the path,4,390,684
WhatsApp Image 2026-04-27 at 19.34.47(4).jpeg,Continu. Down the path,5,388,614
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,1,384,972
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,2,398,908
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,3,404,841
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,4,401,785
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,5,388,732
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,6,337,702
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,7,276,693
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,8,208,687
WhatsApp Image 2026-04-27 at 19.34.47.jpeg,Go to the slid doors,9,177,660
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,1,384,972
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,2,381,887
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,3,413,822
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,4,522,773
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,5,615,758
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,6,731,731
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,7,738,695
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,8,674,668
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,9,679,629
WhatsApp Image 2026-04-27 at 19.34.48(1).jpeg,Go around the tree and follow the path up the stairs,10,689,600
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,1,384,972
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,2,430,863
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,3,490,770
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,4,540,702
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,5,565,641
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,6,585,585
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,7,585,526
WhatsApp Image 2026-04-27 at 19.34.48(2).jpeg,Go up the stairs,8,556,499
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,1,384,972
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,2,390,901
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,3,434,855
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,4,475,817
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,5,543,757
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,6,562,704
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,7,555,654
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,8,551,610
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,9,548,570
WhatsApp Image 2026-04-27 at 19.34.48(3).jpeg,Take the path on the right,10,543,531
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,1,384,972
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,2,389,905
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,3,381,812
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,4,370,742
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,5,356,664
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,6,351,607
WhatsApp Image 2026-04-27 at 19.34.48.jpeg,Contiune straight. Down the path,7,354,559
